2025-08-20 17:20:26,452 [INFO] ✅ CUDA 可用! 设备: NVIDIA GeForce RTX 3070
2025-08-20 17:20:26,452 [INFO] 显存: 8.00 GB
2025-08-20 17:20:26,452 [INFO] 开始转换数据集: ./Muice_Dataset/train.jsonl
2025-08-20 17:20:26,461 [INFO] 数据集转换完成! 共 1500 条样本
2025-08-20 17:20:26,461 [INFO] 开始转换数据集: ./Muice_Dataset/test.jsonl
2025-08-20 17:20:26,463 [INFO] 数据集转换完成! 共 100 条样本
2025-08-20 17:20:26,463 [INFO] 加载模型: ./QWen1_5_0_5B
2025-08-20 17:20:26,599 [INFO] Special tokens: {'eos_token': '<|endoftext|>', 'pad_token': '<|endoftext|>', 'additional_special_tokens': ['<|im_start|>', '<|im_end|>']}
2025-08-20 17:20:26,746 [INFO] We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
trainable params: 3,784,704 || all params: 467,772,416 || trainable%: 0.8091
Tokenizing and chunking... (num_proc=4): 100%|██████████████████████████████████████████████████████████| 1500/1500 [00:13<00:00, 114.00 examples/s] 
Tokenizing and chunking... (num_proc=4): 100%|█████████████████████████████████████████████████████████████| 100/100 [00:11<00:00,  8.82 examples/s]
2025-08-20 17:20:55,772 [INFO] ✨ 开始微调训练...
{'loss': 4.1445, 'grad_norm': 15.630965232849121, 'learning_rate': 2.1176470588235296e-06, 'epoch': 0.11}
{'loss': 3.9422, 'grad_norm': 12.811614990234375, 'learning_rate': 4.235294117647059e-06, 'epoch': 0.21}
{'loss': 3.6623, 'grad_norm': 10.274565696716309, 'learning_rate': 6.588235294117647e-06, 'epoch': 0.32}
{'loss': 3.2309, 'grad_norm': 6.906148433685303, 'learning_rate': 8.941176470588237e-06, 'epoch': 0.43}
{'loss': 2.9236, 'grad_norm': 5.671924591064453, 'learning_rate': 1.1294117647058825e-05, 'epoch': 0.53}
{'loss': 2.4837, 'grad_norm': 4.076326847076416, 'learning_rate': 1.3647058823529413e-05, 'epoch': 0.64}
{'loss': 2.1153, 'grad_norm': 2.5754435062408447, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.75}
{'loss': 2.1412, 'grad_norm': 2.092794418334961, 'learning_rate': 1.8352941176470587e-05, 'epoch': 0.85}
{'loss': 2.0072, 'grad_norm': 2.0400946140289307, 'learning_rate': 1.9999940625882437e-05, 'epoch': 0.96}
{'eval_loss': 2.010422706604004, 'eval_runtime': 18.5419, 'eval_samples_per_second': 5.393, 'eval_steps_per_second': 2.697, 'epoch': 1.0}
{'loss': 1.9745, 'grad_norm': 1.7910611629486084, 'learning_rate': 1.9998885105628466e-05, 'epoch': 1.06}
{'loss': 1.8883, 'grad_norm': 1.9514175653457642, 'learning_rate': 1.9996510320841872e-05, 'epoch': 1.17}
{'loss': 1.9355, 'grad_norm': 2.0080184936523438, 'learning_rate': 1.9992816584854515e-05, 'epoch': 1.28}
{'loss': 1.8445, 'grad_norm': 2.04237699508667, 'learning_rate': 1.9987804385022217e-05, 'epoch': 1.38}
{'loss': 1.7868, 'grad_norm': 2.1643965244293213, 'learning_rate': 1.9981474382660463e-05, 'epoch': 1.49}
